code,name,description,hours_per_week,facility_hours,minimum_hours_per_lesson,term_available,pillar
10.001,Advanced Mathematics I,nil,0,nil:0,0,0,Freshmore
10.002,Physics I,nil,0,nil:0,0,0,Freshmore
10.006,Chemistry and Biology: Natural World,nil,0,nil:0,0,0,Freshmore
02.001,World Texts and Interpretations,nil,0,nil:0,0,0,Freshmore
10.004,Advanced Mathematics II,nil,0,nil:0,0,0,Freshmore
10.005,Physics II,nil,0,nil:0,0,0,Freshmore
02.003,Theorizing Society$ the Self$ and Culture,nil,0,nil:0,0,0,Freshmore
03.007 ,Introduction to Design,nil,0,nil:0,0,0,Freshmore
10.007 ,Modelling the Systems World,nil,0,nil:0,0,0,Freshmore
10.008 ,Engineering in the Physical World,nil,0,nil:0,0,0,Freshmore
10.009 ,The Digital World,nil,0,nil:0,0,0,Freshmore
10.011 ,Introduction to Physical Chemistry​,nil,0,nil:0,0,0,Freshmore
10.012 ,Introduction to Biology,nil,0,nil:0,0,0,Freshmore
01.400,Capstone 1,nil,0,nil:0,0,0,PillarYear
01.401,Capstone 2,nil,0,nil:0,0,0,PillarYear
30.001,Structures and Materials,nil,0,nil:0,0,0,EPD
30.002,Circuits and Electronics,nil,0,nil:0,0,0,EPD
30.003,Introduction to Probability and Statistics,nil,0,nil:0,0,0,EPD
30.007,Engineering Design and Project Engineering,nil,0,nil:0,0,0,EPD
30.101,Systems and Control,nil,0,nil:0,0,0,EPD
30.104,Dynamics,nil,0,nil:0,0,0,EPD
30.105,Machine Element Design,nil,0,nil:0,0,0,EPD
30.106,Microelectronics Circuits and Devices,nil,0,nil:0,0,0,EPD
30.107,Power Electronics,nil,0,nil:0,0,0,EPD
30.108,Material Science,nil,0,nil:0,0,0,EPD
30.109,Thermal Systems for Power and Environment,nil,0,nil:0,0,0,EPD
30.110,Digital Systems Laboratory,nil,0,nil:0,0,0,EPD
30.111,Entrepreneurship,nil,0,nil:0,0,0,EPD
30.203,Topics in Biomedical and Healthcare Engineering,nil,0,nil:0,0,0,EPD
30.113,Design and Fabrication of Microelectromechanical Systems ,nil,0,nil:0,0,0,EPD
30.114,Advanced Feedback and Control,nil,0,nil:0,0,0,EPD
30.115,Digital Signal Processing,nil,0,nil:0,0,0,EPD
30.116,Introduction to Nano-electronics,nil,0,nil:0,0,0,EPD
30.118,Optical Engineering and Communications,nil,0,nil:0,0,0,EPD
30.123,Healthcare Product Design,nil,0,nil:0,0,0,EPD
30.205,Aerodynamics,nil,0,nil:0,0,0,EPD
30.117,Electric Power Systems Analysis and Design,nil,0,nil:0,0,0,EPD
30.119,Intelligent Robotics,nil,0,nil:0,0,0,EPD
30.200,Micro-Nano Projects Laboratory,nil,0,nil:0,0,0,EPD
30.201,Wireless Communications and Internet of Things,nil,0,nil:0,0,0,EPD
30.202,Digital Integrated Circuits Design,nil,0,nil:0,0,0,EPD
30.207,Structural Mechanics and Design,nil,0,nil:0,0,0,EPD
01.101,Global Health Technologies,nil,0,nil:0,0,0,EPD
01.106,Engineering Management,nil,0,nil:0,0,0,EPD
01.111,Culture Formation and Innovative Product Design,nil,0,nil:0,0,0,EPD
01.105,Design and Manufacturing,nil,0,nil:0,0,0,EPD
20.312,Social Architecture: Theory and Practice,nil,0,nil:0,0,0,ASD
20.309,Sustainability of Ancient Chinese Architecture Design in the Modern World,nil,0,nil:0,0,0,ASD
20.306,Integrated Building Design,nil,0,nil:0,0,0,ASD
20.305,Conservation Theories and Approaches of Built Heritage,nil,0,nil:0,0,0,ASD
20.112,Sustainable Design Option Studio 2,nil,0,nil:0,0,0,ASD
20.314,Paradigms of Adaptation,nil,0,nil:0,0,0,ASD
20.304,Urban Housing Typologies,nil,0,nil:0,0,0,ASD
20.302,Advanced Topics in Performative Design: Daylight and Electric Lighting,nil,0,nil:0,0,0,ASD
20.301,Material Computation: Advanced Topics in Geometry and Matter,nil,0,nil:0,0,0,ASD
20.111,Sustainable Design Option Studio 1,nil,0,nil:0,0,0,ASD
20.223 ,History$ Theory and Culture 3: Contemporary Architecture Between Technology$ Science and Culture,nil,0,nil:0,0,0,ASD
20.213,Building Information Modeling,nil,0,nil:0,0,0,ASD
20.203,Architectural Energy Systems,nil,0,nil:0,0,0,ASD
20.103,Architecture Core Studio 3,nil,0,nil:0,0,0,ASD
20.222,History$ Theory and Culture 2,nil,0,nil:0,0,0,ASD
20.212,Digital Design and Fabrication,nil,0,nil:0,0,0,ASD
20.202,Architectural Structure and Enclosure Design,nil,0,nil:0,0,0,ASD
20.102,Architecture Core Studio 2,nil,0,nil:0,0,0,ASD
20.221,History$ Theory and Culture 1,nil,0,nil:0,0,0,ASD
